,Rank,Title,Author,Avg_Rating,Num_Ratings,ISBN,ASIN,Genres,Series,Page_Number,Format
351,,Fiction in American Magazines Before 1800,Edward W. R. Pitcher,,,,,Language Arts & Disciplines,,344,paperback
352,,Gedanken Fictions,Thomas A. Easton,,,9781587150692,,Fiction,,230,paperback
353,,The History of Science Fiction,A. Roberts,,,9780230554658,,Fiction,,385,ebook
354,,The Routledge Handbook of Philosophy of Scientific Modeling,"Tarja Knuuttila, Natalia Carrillo, Rami Koskinen",,,9781040090435,,Philosophy,,796,ebook
355,,The Significance of the Hypothetical in the Natural Sciences,"Michael Heidelberger, Gregor Schiemann",,,9783110210620,,Philosophy,,385,ebook
356,,The Past Is a Foreign Country – Revisited,David Lowenthal,,,9781139915663,,History,,679,ebook
357,,Science Fact and Science Fiction,Brian M. Stableford,5.0,,9780415974608,,Fiction,,758,paperback
358,,Modelling Nature: An Opinionated Introduction to Scientific Representation,"Roman Frigg, James Nguyen",,,9783030451530,,Philosophy,,250,ebook
359,,Encyclopedia of Time,Samuel L. Macey,,,9780815306153,,Reference,,730,paperback
360,,Out of Time,"Samuel Baron, Kristie Miller, Jonathan Tallant",,,9780192688279,,Philosophy,,346,ebook
361,,The Appropriation of Cultural Capital,Milena Doleželová-Velingerová,,,9780674007864,,History,,384,paperback
362,,Hollyweird Science,"Kevin R. Grazier, Stephen Cass",,,9783319150727,,Science,,315,ebook
363,,Destined for the Stars,Catherine L. Newell,,,9780822986652,,Science,,313,paperback
364,,Outer Space and Popular Culture,Annette Froehlich,,,9783030226565,,Technology & Engineering,,181,ebook
365,,Narrative Innovation and Cultural Rewriting in the Cold War Era and After,M. Cornis-Pope,,,9781403970039,,Science,,333,ebook
366,,Our Shared Storm,Andrew Dana Hudson,,,9780823299553,,Fiction,,158,ebook
367,,The Routledge Handbook of Ecofeminism and Literature,Douglas A. Vakoch,,,9781000634419,,Literary Criticism,,881,ebook
368,,"Handbook of Space Engineering, Archaeology, and Heritage","Ann Darrin, Beth L. O'Leary",5.0,,9781420084320,,Science,,1038,ebook
369,,Funology 2,"Mark Blythe, Andrew Monk",,,9783319682136,,Computers,,550,ebook
370,,Fictions of the Cosmos,Frédérique Aït-Touati,,,9780226011240,,Science,,273,ebook
371,,Science in the Contemporary World,Eric G. Swedin,,,9781851095292,,Science,,409,ebook
372,,A Human Algorithm,Flynn Coleman,,,9781911545583,,Computers,,317,ebook
