,Rank,Title,Author,Avg_Rating,Num_Ratings,ISBN,ASIN,Format_and_Page,Genres
478,479,Breakfast of Champions,Kurt Vonnegut Jr.,4.06,271423,9780385334204,0385334206,"303 pages, Paperback","Genres
Fiction
Classics
Science Fiction
Humor
Literature
Novels
American"
479,480,Breakfast at Tiffany’s and Three Stories,Truman Capote,3.84,282197,Not found,Not found,"142 pages, Paperback","Genres
Fiction
Short Stories
Classics
Romance
Audiobook
American
Literature"
480,481,The Prince,Niccolò Machiavelli,3.84,362710,9780937832387,0937832383,"144 pages, Paperback","Genres
Philosophy
Nonfiction
Politics
History
Political Science
Literature
Italy"
481,482,"The Subtle Knife (His Dark Materials, #2)",Philip Pullman,4.15,448969,Not found,B00SSJYF8S,"370 pages, Kindle Edition","Genres
Fantasy
Young Adult
Fiction
Audiobook
Childrens
Adventure
Science Fiction"
482,483,The Virgin Suicides,Jeffrey Eugenides,3.79,381025,9780747560593,0747560595,"250 pages, Paperback","Genres
Fiction
Young Adult
Literary Fiction
Coming Of Age
Mental Health
Contemporary
Novels"
483,484,The Origin of Species,Charles Darwin,4.01,118809,Not found,Not found,"703 pages, Hardcover","Genres
Science
Nonfiction
Classics
Biology
Evolution
History
Philosophy"
484,485,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",Laini Taylor,3.99,379088,9780316134026,0316134023,"418 pages, Hardcover","Genres
Fantasy
Young Adult
Romance
Paranormal
Urban Fantasy
Angels
Fiction"
485,486,A Fine Balance,Rohinton Mistry,4.38,154810,9781400030651,140003065X,"603 pages, Paperback","Genres
Fiction
Historical Fiction
India
Indian Literature
Literary Fiction
Historical
Asia"
486,487,"Hopeless (Hopeless, #1)",Colleen Hoover,4.23,640894,9781301949823,B08GWTKXCP,"410 pages, Kindle Edition","Genres
Romance
New Adult
Young Adult
Contemporary
Fiction
Contemporary Romance
Abuse"
487,488,"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,4.62,1142321,9781619636040,1619636042,"648 pages, Hardcover","Genres
Young Adult
Romance
Fiction
Fae
Magic
Romantasy
Young Adult Fantasy"
488,489,"Red, White & Royal Blue",Casey McQuiston,4.06,1140209,9781250316776,1250316774,"448 pages, Paperback","Genres
Romance
LGBT
Contemporary
Fiction
Queer
Young Adult
Enemies To Lovers"
489,490,"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,4.39,977692,9781400064168,1400064163,"475 pages, Hardcover","Genres
Nonfiction
History
Biography
World War II
War
Historical
Audiobook"
490,491,Infinite Jest,David Foster Wallace,4.25,96922,Not found,Not found,"1088 pages, Paperback","Genres
Fiction
Classics
Literature
Novels
Contemporary
Humor
Literary Fiction"
